time,rho,mean,sd,min,max
97,1,9.50,0.66,8.40,10.95
98,1,9.43,0.57,8.41,10.92
99,1,9.63,0.68,8.33,11.09
100,1,9.44,0.74,8.23,11.20
101,1,9.79,0.73,8.32,11.20
102,1,10.19,0.68,8.96,11.76
103,1,9.78,0.55,8.66,10.87
104,1,9.58,0.59,8.35,10.87
105,1,9.58,0.64,8.23,11.14
106,1,9.48,0.56,8.33,10.57
107,1,9.47,0.57,8.43,10.64
108,1,9.28,0.62,8.09,10.58
109,1,9.50,0.77,8.07,11.16
110,1,9.55,0.67,8.32,10.92
111,1,10.00,0.63,8.73,11.33
112,1,9.41,0.57,8.33,10.52
113,1,9.17,0.60,8.10,10.27
114,1,9.68,0.60,8.61,10.87
115,1,9.68,0.62,8.46,11.10
116,1,9.11,0.53,8.18,10.20
117,1,9.65,0.61,8.52,11.03
118,1,10.13,0.70,8.67,11.57
119,1,9.80,0.77,8.35,11.32
120,1,9.40,0.64,8.34,10.75
121,1,9.61,0.63,8.39,10.80
122,1,10.11,0.76,8.59,11.68
123,1,9.12,0.52,8.22,10.15
124,1,9.57,0.65,8.26,10.76
125,1,9.80,0.65,8.48,10.97
126,1,9.68,0.65,8.36,10.86
127,1,9.77,0.70,8.38,11.02
128,1,9.70,0.79,8.16,11.32
129,1,10.08,0.77,8.52,11.61
130,1,9.55,0.73,8.15,10.96
131,1,9.87,0.68,8.49,11.03
132,1,10.07,0.77,8.57,11.66
133,1,9.82,0.77,8.34,11.38
134,1,9.89,0.82,8.33,11.44
135,1,9.98,0.94,8.15,11.85
136,1,9.93,0.72,8.55,11.23
137,1,10.10,0.83,8.56,11.73
138,1,9.77,0.70,8.53,11.35
139,1,9.65,0.67,8.37,11.06
140,1,9.46,0.63,8.29,10.72
141,1,9.65,0.67,8.39,11.02
142,1,9.53,0.71,8.21,10.99
143,1,9.35,0.68,8.08,10.73
144,1,9.34,0.70,8.13,10.85
145,1,9.55,0.85,8.07,11.46
146,1,9.36,0.69,8.09,10.74
147,1,9.38,0.72,8.06,10.81
148,1,9.99,0.79,8.67,11.77
149,1,9.71,0.71,8.22,10.98
150,1,9.59,0.72,8.36,10.98
151,1,9.65,0.69,8.47,11.21
152,1,9.77,0.66,8.62,11.15
153,1,9.70,0.72,8.41,11.30
154,1,9.58,0.61,8.46,10.85
155,1,9.82,0.64,8.68,11.13
156,1,9.78,0.62,8.56,11.09
157,1,10.24,0.62,9.02,11.42
158,1,9.69,0.61,8.45,10.91
159,1,9.85,0.69,8.55,11.30
160,1,9.65,0.55,8.67,10.80
161,1,9.30,0.51,8.30,10.30
162,1,9.44,0.57,8.29,10.48
163,1,9.67,0.72,8.40,11.14
164,1,9.36,0.68,8.05,10.74
165,1,9.63,0.71,8.24,11.08
166,1,9.58,0.74,8.11,10.98
167,1,9.59,0.80,8.03,11.34
168,1,9.80,0.90,8.02,11.49
169,1,9.58,0.85,8.08,11.42
170,1,9.72,0.85,8.03,11.45
171,1,9.47,0.75,8.12,10.95
172,1,9.14,0.66,7.87,10.59
173,1,9.38,0.58,8.38,10.63
174,1,9.56,0.63,8.34,10.79
175,1,9.34,0.57,8.29,10.46
176,1,9.58,0.65,8.37,10.97
177,1,9.28,0.62,8.16,10.63
178,1,9.37,0.61,8.15,10.70
179,1,9.31,0.63,8.09,10.58
180,1,9.14,0.56,8.10,10.29
181,1,9.12,0.57,8.08,10.26
182,1,9.14,0.50,8.14,10.22
183,1,9.47,0.65,8.25,10.77
184,1,9.65,0.81,8.12,11.24
185,1,10.04,0.90,8.28,12.01
186,1,9.70,0.75,8.19,11.05
187,1,9.75,0.67,8.29,10.91
188,1,9.96,0.57,8.79,11.00
189,1,11.28,0.82,9.80,12.99
190,1,10.92,0.83,9.34,12.70
191,1,10.71,0.97,8.91,12.74
192,1,9.46,0.64,8.43,10.90
193,1,9.90,0.65,8.70,11.22
194,1,10.15,0.69,9.01,11.49
195,1,10.21,0.71,8.77,11.47
196,1,10.05,0.70,8.59,11.23
197,1,10.81,0.77,9.29,12.15
198,1,10.43,0.74,9.23,11.63
199,1,10.14,0.67,8.97,11.47
200,1,9.86,0.71,8.47,11.20
201,1,9.92,0.64,8.57,11.13
202,1,10.23,0.66,8.99,11.74
203,1,10.29,0.64,9.15,11.70
204,1,10.62,0.70,9.22,12.02
205,1,9.94,0.73,8.40,11.36
206,1,9.97,0.69,8.59,11.26
207,1,9.94,0.71,8.60,11.38
208,1,9.64,0.79,8.18,11.20
209,1,9.79,0.80,8.28,11.47
210,1,9.83,0.80,8.10,11.29
211,1,9.88,0.80,8.24,11.70
212,1,9.81,0.78,8.23,11.60
213,1,9.01,0.50,8.17,10.04
214,1,9.14,0.50,8.35,10.24
215,1,9.95,0.60,8.84,11.04
216,1,9.67,0.57,8.65,10.77
217,1,9.56,0.64,8.35,10.75
218,1,9.21,0.66,7.94,10.45
219,1,9.55,0.72,8.02,10.99
220,1,9.49,0.74,8.02,11.06
221,1,9.63,0.70,8.26,11.15
222,1,9.68,0.76,8.24,11.30
223,1,10.00,0.73,8.55,11.55
224,1,10.02,0.70,8.67,11.36
225,1,9.93,0.67,8.71,11.25
226,1,9.86,0.63,8.69,11.09
227,1,9.75,0.57,8.69,10.89
228,1,9.91,0.61,8.73,11.28
229,1,9.91,0.59,8.89,11.28
230,1,9.86,0.62,8.62,11.27
231,1,9.90,0.66,8.60,11.30
232,1,9.96,0.67,8.55,11.19
233,1,9.98,0.70,8.52,11.28
234,1,9.93,0.73,8.43,11.25
235,1,9.61,0.67,8.24,10.81
236,1,9.42,0.67,8.13,10.69
237,1,9.33,0.75,7.96,10.79
238,1,10.15,0.60,9.05,11.43
239,1,10.46,0.65,9.23,11.83
240,1,10.42,0.67,9.23,11.65
241,1,9.95,0.61,8.79,11.09
242,1,10.10,0.63,8.88,11.13
243,1,9.80,0.62,8.51,10.83
244,1,9.70,0.65,8.41,10.87
245,1,9.81,0.68,8.55,11.01
246,1,9.85,0.69,8.57,11.12
247,1,9.92,0.67,8.68,11.06
248,1,10.16,0.64,9.10,11.39
249,1,10.07,0.62,8.90,11.28
250,1,10.07,0.64,8.91,11.45
251,1,10.07,0.64,8.92,11.39
252,1,10.02,0.63,8.76,11.21
253,1,9.81,0.68,8.48,11.17
254,1,10.00,0.73,8.56,11.52
255,1,9.97,0.66,8.65,11.27
256,1,9.90,0.66,8.58,11.22
257,1,9.78,0.58,8.62,10.99
258,1,9.84,0.56,8.76,10.97
259,1,9.90,0.59,8.70,11.23
260,1,9.74,0.53,8.74,10.87
261,1,9.56,0.52,8.63,10.66
262,1,9.58,0.68,8.38,11.22
263,1,9.68,0.73,8.34,11.23
264,1,9.80,0.68,8.56,11.23
265,1,9.90,0.63,8.63,11.16
266,1,9.98,0.62,8.85,11.21
267,1,10.17,0.63,9.09,11.31
268,1,10.25,0.60,9.23,11.37
269,1,10.29,0.60,9.26,11.50
270,1,10.11,0.61,8.98,11.36
271,1,9.76,0.70,8.54,11.23
272,1,9.56,0.70,8.33,11.02
273,1,9.52,0.67,8.24,10.94
274,1,9.54,0.68,8.23,10.98
275,1,9.70,0.69,8.50,11.16
276,1,9.64,0.68,8.47,11.20
277,1,9.66,0.64,8.53,11.11
278,1,9.50,0.57,8.46,10.71
279,1,9.76,0.76,8.40,11.36
280,1,9.77,0.73,8.44,11.19
281,1,9.73,0.76,8.28,11.25
282,1,9.61,0.67,8.35,10.93
283,1,9.50,0.64,8.32,10.72
284,1,9.72,0.66,8.49,10.86
285,1,9.53,0.63,8.32,10.75
286,1,9.52,0.62,8.29,10.62
287,1,9.25,0.63,8.05,10.49
288,1,9.54,0.68,8.16,10.88
289,1,9.59,0.71,8.13,10.97
290,1,9.54,0.66,8.35,10.83
291,1,9.28,0.59,8.21,10.48
292,1,9.13,0.55,8.16,10.22
293,1,9.30,0.62,8.25,10.44
294,1,9.33,0.63,8.20,10.44
295,1,9.50,0.65,8.27,10.61
296,1,9.58,0.68,8.24,10.82
297,1,9.65,0.69,8.25,10.84
298,1,9.64,0.66,8.28,10.76
299,1,9.28,0.59,8.27,10.44
300,1,9.52,0.56,8.49,10.65
301,1,9.41,0.56,8.36,10.49
302,1,9.52,0.54,8.50,10.60
303,1,9.47,0.58,8.40,10.69
304,1,9.65,0.62,8.47,10.90
305,1,9.47,0.61,8.41,10.78
306,1,9.56,0.61,8.54,10.94
307,1,9.44,0.60,8.44,10.70
308,1,9.61,0.64,8.54,10.91
309,1,9.56,0.65,8.45,10.88
310,1,9.57,0.64,8.49,10.89
311,1,9.44,0.61,8.44,10.69
312,1,9.50,0.61,8.43,10.70
313,1,9.52,0.57,8.50,10.70
314,1,9.34,0.54,8.37,10.46
315,1,9.31,0.57,8.30,10.40
316,1,9.23,0.51,8.33,10.30
317,1,9.65,0.60,8.65,10.86
318,1,9.65,0.63,8.52,10.90
319,1,10.27,0.80,8.50,11.81
320,1,10.17,0.84,8.22,11.68
321,1,10.49,0.79,8.66,11.88
322,1,10.15,0.77,8.43,11.49
323,1,10.35,0.74,8.80,11.63
324,1,10.24,0.74,8.70,11.57
325,1,10.32,0.76,8.66,11.75
326,1,10.16,0.78,8.46,11.65
327,1,9.93,0.84,8.17,11.50
328,1,10.02,0.80,8.22,11.55
329,1,9.78,0.74,8.22,11.11
330,1,9.47,0.70,8.15,10.71
331,1,9.81,0.76,8.22,11.22
332,1,10.08,0.79,8.36,11.49
333,1,10.02,0.80,8.41,11.42
334,1,10.01,0.76,8.42,11.34
335,1,9.66,0.74,8.31,11.08
336,1,9.53,0.67,8.23,10.79
337,1,9.66,0.66,8.46,10.94
338,1,9.62,0.63,8.38,10.80
339,1,9.80,0.62,8.50,10.89
340,1,10.03,0.63,8.66,11.22
341,1,10.24,0.65,8.82,11.43
342,1,10.22,0.61,9.05,11.34
343,1,10.05,0.61,8.91,11.26
344,1,10.15,0.66,8.94,11.51
345,1,9.94,0.66,8.63,11.22
346,1,9.72,0.62,8.47,10.93
347,1,9.83,0.63,8.61,11.07
348,1,9.73,0.67,8.46,11.23
349,1,9.70,0.67,8.46,11.15
350,1,9.75,0.62,8.51,10.99
351,1,9.37,0.57,8.27,10.53
352,1,9.26,0.56,8.17,10.45
353,1,9.37,0.61,8.17,10.59
354,1,9.75,0.67,8.26,10.93
355,1,10.14,0.73,8.86,11.73
356,1,9.67,0.74,8.17,10.83
357,1,9.34,0.72,8.03,10.60
358,1,9.25,0.60,8.12,10.40
359,1,9.64,0.62,8.56,10.82
360,1,9.71,0.68,8.46,11.01
361,1,9.75,0.71,8.31,11.08
362,1,9.99,0.59,8.89,10.91
363,1,10.03,0.67,8.81,11.21
364,1,9.81,0.70,8.42,11.17
365,1,9.75,0.69,8.39,11.14
366,1,9.70,0.65,8.36,11.00
367,1,9.43,0.61,8.20,10.73
368,1,9.53,0.67,8.26,11.01
369,1,9.31,0.61,8.18,10.75
370,1,9.43,0.54,8.37,10.55
371,1,9.39,0.64,8.07,10.67
372,1,9.73,0.62,8.40,10.85
373,1,9.67,0.70,8.10,10.86
374,1,10.07,0.63,8.66,11.22
375,1,9.95,0.67,8.47,11.23
376,1,9.99,0.56,8.84,11.03
377,1,10.23,0.56,9.15,11.24
378,1,9.81,0.63,8.51,10.87
379,1,9.46,0.66,8.28,10.62
380,1,9.80,0.67,8.42,10.94
381,1,9.47,0.63,8.25,10.61
382,1,9.64,0.63,8.42,10.73
383,1,10.14,0.74,8.72,11.47
384,1,10.14,0.66,8.85,11.32
385,1,9.91,0.66,8.47,11.09
386,1,9.95,0.69,8.49,11.24
387,1,10.28,0.66,9.00,11.54
388,1,10.54,0.63,9.32,11.68
389,1,10.25,0.70,9.04,11.43
390,1,10.25,0.71,9.10,11.60
391,1,10.18,0.73,8.78,11.62
392,1,10.15,0.73,8.78,11.63
393,1,9.86,0.76,8.42,11.43
394,1,9.87,0.75,8.49,11.42
395,1,9.74,0.67,8.48,10.95
396,1,9.74,0.64,8.55,10.91
397,1,9.80,0.60,8.59,10.82
398,1,9.88,0.67,8.56,11.22
399,1,9.70,0.65,8.42,10.92
400,1,9.80,0.65,8.42,10.97
401,1,9.68,0.60,8.44,10.84
402,1,9.77,0.60,8.61,11.03
403,1,9.67,0.59,8.50,10.95
404,1,9.61,0.59,8.41,10.85
405,1,9.68,0.67,8.26,10.99
406,1,9.64,0.69,8.17,11.04
407,1,9.71,0.68,8.31,11.06
408,1,9.54,0.64,8.14,10.83
409,1,9.57,0.68,8.22,11.13
410,1,9.48,0.63,8.16,10.80
411,1,9.51,0.62,8.24,10.81
412,1,9.57,0.65,8.11,10.85
413,1,9.63,0.61,8.29,10.83
414,1,9.32,0.59,8.05,10.52
415,1,9.46,0.64,8.08,10.76
416,1,9.52,0.62,8.23,10.75
417,1,9.45,0.51,8.49,10.57
418,1,9.66,0.51,8.73,10.69
419,1,9.65,0.57,8.66,10.77
420,1,9.76,0.60,8.72,10.85
421,1,9.74,0.60,8.63,10.86
422,1,9.97,0.66,8.68,11.27
423,1,9.55,0.69,8.27,10.83
424,1,9.75,0.75,8.45,11.14
425,1,9.49,0.60,8.31,10.62
426,1,9.34,0.72,7.97,10.75
427,1,9.48,0.75,8.05,10.88
428,1,9.66,0.77,8.21,11.15
429,1,9.43,0.65,8.23,10.74
430,1,9.41,0.67,8.09,10.56
431,1,9.36,0.67,7.98,10.53
432,1,9.36,0.66,8.00,10.52
433,1,9.40,0.57,8.21,10.49
434,1,9.37,0.53,8.23,10.29
435,1,9.43,0.58,8.25,10.51
436,1,9.35,0.58,8.18,10.53
437,1,9.34,0.60,8.22,10.53
438,1,9.51,0.60,8.35,10.73
439,1,10.06,0.76,8.44,11.52
440,1,10.04,0.76,8.40,11.48
441,1,10.47,0.73,8.92,11.93
442,1,10.40,0.69,9.05,11.74
443,1,9.90,0.71,8.49,11.28
444,1,9.85,0.69,8.47,11.18
445,1,9.70,0.68,8.33,11.02
446,1,9.50,0.68,8.17,10.75
447,1,9.63,0.65,8.26,10.85
448,1,9.65,0.64,8.19,10.86
449,1,9.75,0.63,8.25,10.90
450,1,9.70,0.67,8.21,10.90
451,1,9.89,0.60,8.45,10.82
452,1,9.62,0.62,8.27,10.63
453,1,9.61,0.68,8.19,10.67
454,1,9.55,0.70,8.19,10.81
455,1,9.54,0.71,8.22,10.85
456,1,9.67,0.63,8.40,10.71
457,1,9.75,0.68,8.42,11.02
458,1,9.57,0.71,8.29,10.99
459,1,9.43,0.75,8.06,10.92
460,1,9.45,0.75,8.09,10.92
461,1,9.07,0.56,8.05,10.28
462,1,9.89,0.72,8.49,11.51
463,1,9.49,0.65,8.20,10.68
464,1,9.49,0.67,8.08,10.69
465,1,9.75,0.56,8.40,10.83
466,1,9.78,0.57,8.56,10.87
467,1,9.96,0.55,8.81,10.91
468,1,9.87,0.54,8.68,10.90
469,1,9.87,0.53,8.67,10.89
470,1,10.11,0.60,8.82,11.13
471,1,10.06,0.62,8.59,11.04
472,1,9.80,0.62,8.28,10.83
473,1,9.91,0.68,8.32,11.18
474,1,10.04,0.60,8.90,11.26
475,1,9.81,0.59,8.66,11.03
476,1,9.63,0.76,8.18,11.24
477,1,9.93,0.71,8.51,11.42
478,1,9.80,0.65,8.54,11.18
479,1,9.56,0.63,8.42,11.04
480,1,9.52,0.58,8.56,10.92
481,1,9.48,0.61,8.50,10.86
482,1,9.46,0.57,8.54,10.70
483,1,9.78,0.52,8.84,10.87
484,1,9.95,0.56,8.85,10.94
485,1,10.20,0.59,9.14,11.50
486,1,10.00,0.51,9.01,10.91
487,1,10.23,0.55,9.20,11.20
488,1,9.97,0.56,8.88,11.03
489,1,9.44,0.49,8.61,10.44
490,1,9.28,0.50,8.41,10.41
491,1,9.28,0.52,8.32,10.44
492,1,9.40,0.49,8.52,10.33
493,1,9.51,0.56,8.52,10.66
494,1,9.59,0.64,8.50,10.94
495,1,9.51,0.72,8.29,11.19
496,1,9.62,0.67,8.43,11.13
497,1,9.37,0.65,8.34,10.82
498,1,9.47,0.63,8.41,10.82
499,1,9.59,0.66,8.38,11.00
500,1,9.50,0.73,8.26,11.00
0,2,8.50,0.41,7.71,9.30
1,2,8.57,0.45,7.74,9.54
2,2,8.45,0.46,7.64,9.50
3,2,8.27,0.42,7.52,9.20
4,2,8.31,0.44,7.54,9.31
5,2,8.26,0.40,7.58,9.13
6,2,8.39,0.46,7.59,9.39
7,2,8.62,0.46,7.82,9.77
8,2,8.49,0.40,7.77,9.51
9,2,8.55,0.35,7.91,9.42
10,2,8.42,0.35,7.73,9.16
11,2,8.22,0.34,7.62,8.96
12,2,8.19,0.41,7.45,9.10
13,2,8.19,0.41,7.50,9.09
14,2,8.14,0.45,7.39,9.14
15,2,8.22,0.39,7.49,9.18
16,2,8.28,0.39,7.69,9.22
17,2,8.23,0.41,7.60,9.15
18,2,8.23,0.40,7.59,9.12
19,2,8.37,0.37,7.76,9.23
20,2,8.43,0.35,7.82,9.27
21,2,8.32,0.34,7.74,9.09
22,2,8.40,0.31,7.86,9.08
23,2,8.43,0.33,7.82,9.11
24,2,8.34,0.33,7.77,9.10
25,2,8.46,0.35,7.83,9.29
26,2,8.13,0.37,7.54,8.96
27,2,8.07,0.40,7.35,9.01
28,2,7.97,0.39,7.35,8.90
29,2,8.03,0.42,7.34,9.07
30,2,8.14,0.43,7.38,9.18
31,2,8.20,0.41,7.53,9.30
32,2,8.30,0.39,7.62,9.23
33,2,8.33,0.41,7.48,9.20
34,2,8.37,0.46,7.51,9.33
35,2,8.44,0.43,7.69,9.42
36,2,8.49,0.39,7.80,9.44
37,2,8.51,0.43,7.70,9.57
38,2,8.62,0.45,7.91,9.71
39,2,8.55,0.39,7.80,9.30
40,2,8.58,0.39,7.79,9.35
41,2,8.62,0.39,7.89,9.46
42,2,8.57,0.39,7.84,9.43
43,2,8.65,0.42,7.88,9.60
44,2,8.62,0.40,7.89,9.51
45,2,8.48,0.40,7.76,9.37
46,2,8.31,0.44,7.57,9.33
47,2,8.30,0.45,7.59,9.38
48,2,8.22,0.41,7.55,9.17
49,2,8.14,0.42,7.48,9.05
50,2,8.04,0.42,7.34,8.97
51,2,8.08,0.33,7.55,8.79
52,2,8.06,0.32,7.53,8.68
53,2,8.14,0.33,7.57,8.78
54,2,8.18,0.34,7.53,8.83
55,2,8.22,0.37,7.45,8.91
56,2,8.04,0.39,7.30,8.75
57,2,8.09,0.41,7.31,8.82
58,2,8.04,0.41,7.30,8.83
59,2,8.04,0.42,7.25,8.94
60,2,8.21,0.43,7.41,9.10
61,2,8.38,0.39,7.54,9.15
62,2,8.40,0.40,7.52,9.10
63,2,8.46,0.41,7.47,9.20
64,2,8.36,0.41,7.48,9.16
65,2,8.40,0.48,7.44,9.42
66,2,8.28,0.44,7.47,9.27
67,2,8.15,0.48,7.34,9.24
68,2,8.23,0.49,7.43,9.39
69,2,8.21,0.40,7.51,9.12
70,2,8.27,0.43,7.46,9.13
71,2,8.22,0.38,7.47,8.99
72,2,8.36,0.44,7.59,9.22
73,2,8.21,0.39,7.53,9.02
74,2,8.19,0.38,7.52,8.95
75,2,8.30,0.42,7.59,9.17
76,2,8.22,0.46,7.44,9.28
77,2,8.32,0.44,7.58,9.31
78,2,8.26,0.42,7.56,9.20
79,2,8.24,0.40,7.53,9.10
80,2,8.21,0.38,7.53,9.03
81,2,8.34,0.37,7.65,9.11
82,2,8.27,0.38,7.60,9.06
83,2,8.33,0.38,7.62,9.07
84,2,8.24,0.37,7.58,9.06
85,2,8.27,0.39,7.58,9.08
86,2,8.28,0.41,7.50,9.08
87,2,8.40,0.43,7.56,9.24
88,2,8.32,0.46,7.45,9.26
89,2,8.45,0.49,7.55,9.57
90,2,8.48,0.45,7.72,9.63
91,2,8.59,0.39,7.85,9.49
92,2,8.62,0.36,7.90,9.51
93,2,8.33,0.33,7.71,9.03
94,2,8.60,0.42,7.73,9.36
95,2,8.74,0.50,7.77,9.76
96,2,8.57,0.42,7.73,9.31
97,2,8.42,0.37,7.75,9.18
98,2,8.44,0.41,7.68,9.16
99,2,8.53,0.46,7.77,9.37
100,2,8.36,0.37,7.73,9.25
101,2,8.43,0.44,7.73,9.47
102,2,8.70,0.44,7.83,9.61
103,2,8.57,0.44,7.68,9.38
104,2,8.40,0.45,7.49,9.18
105,2,8.54,0.51,7.47,9.42
106,2,8.30,0.43,7.39,9.05
107,2,8.26,0.41,7.33,8.97
108,2,8.24,0.36,7.54,8.96
109,2,8.35,0.47,7.56,9.43
110,2,8.31,0.42,7.47,9.16
111,2,8.63,0.38,7.85,9.43
112,2,8.26,0.31,7.71,8.92
113,2,8.12,0.31,7.46,8.81
114,2,8.42,0.36,7.73,9.12
115,2,8.43,0.39,7.75,9.46
116,2,8.10,0.29,7.51,8.74
117,2,8.45,0.36,7.75,9.08
118,2,8.59,0.52,7.67,9.72
119,2,8.36,0.49,7.61,9.34
120,2,8.35,0.39,7.65,9.19
121,2,8.45,0.37,7.73,9.24
122,2,8.65,0.48,7.78,9.71
123,2,8.25,0.30,7.68,8.87
124,2,8.30,0.37,7.67,9.09
125,2,8.54,0.39,7.88,9.42
126,2,8.37,0.43,7.67,9.25
127,2,8.37,0.42,7.70,9.27
128,2,8.16,0.41,7.47,9.04
129,2,8.48,0.51,7.60,9.61
130,2,8.16,0.45,7.51,9.29
131,2,8.36,0.46,7.56,9.38
132,2,8.47,0.52,7.56,9.62
133,2,8.34,0.45,7.55,9.36
134,2,8.45,0.51,7.65,9.61
135,2,8.41,0.58,7.60,9.74
136,2,8.41,0.45,7.57,9.38
137,2,8.42,0.51,7.68,9.63
138,2,8.40,0.42,7.69,9.49
139,2,8.39,0.42,7.62,9.20
140,2,8.28,0.38,7.62,9.12
141,2,8.41,0.42,7.60,9.26
142,2,8.21,0.45,7.44,9.17
143,2,8.17,0.40,7.46,9.01
144,2,8.18,0.34,7.63,8.99
145,2,8.25,0.42,7.61,9.32
146,2,8.20,0.31,7.58,8.85
147,2,8.08,0.34,7.46,8.80
148,2,8.70,0.46,8.02,9.83
149,2,8.28,0.41,7.52,9.07
150,2,8.23,0.34,7.62,8.98
151,2,8.42,0.39,7.72,9.35
152,2,8.50,0.35,7.80,9.30
153,2,8.39,0.37,7.75,9.38
154,2,8.37,0.36,7.63,9.17
155,2,8.59,0.39,7.84,9.53
156,2,8.57,0.37,7.81,9.39
157,2,8.80,0.47,7.89,9.75
158,2,8.48,0.41,7.74,9.29
159,2,8.53,0.41,7.76,9.43
160,2,8.57,0.36,7.89,9.27
161,2,8.38,0.38,7.67,9.05
162,2,8.28,0.47,7.37,9.18
163,2,8.29,0.43,7.50,9.18
164,2,8.18,0.40,7.52,9.03
165,2,8.27,0.42,7.62,9.11
166,2,8.23,0.42,7.52,9.06
167,2,8.17,0.43,7.46,9.11
168,2,8.20,0.52,7.37,9.40
169,2,8.14,0.42,7.43,9.28
170,2,8.17,0.48,7.38,9.49
171,2,8.15,0.43,7.41,9.19
172,2,8.02,0.42,7.37,8.93
173,2,8.26,0.37,7.59,9.08
174,2,8.41,0.44,7.57,9.33
175,2,8.30,0.42,7.49,9.06
176,2,8.43,0.41,7.63,9.19
177,2,8.27,0.42,7.51,9.02
178,2,8.34,0.41,7.62,9.07
179,2,8.21,0.41,7.52,8.98
180,2,8.21,0.34,7.58,8.99
181,2,8.20,0.40,7.47,9.02
182,2,8.26,0.41,7.29,8.96
183,2,8.27,0.39,7.59,9.09
184,2,8.28,0.46,7.63,9.36
185,2,8.42,0.51,7.61,9.73
186,2,8.29,0.47,7.52,9.22
187,2,8.37,0.51,7.48,9.32
188,2,8.74,0.44,7.73,9.44
189,2,9.87,0.52,9.04,11.21
190,2,9.18,0.57,8.28,10.56
191,2,9.01,0.62,7.93,10.39
192,2,8.28,0.27,7.73,8.86
193,2,8.53,0.35,7.85,9.25
194,2,8.59,0.42,7.66,9.38
195,2,8.59,0.47,7.72,9.54
196,2,8.57,0.43,7.78,9.43
